date,open,high,low,close,volume,average,barCount
2025-05-19 10:37:00-04:00,519.2,519.47,519.2,519.36,40640.0,519.349,249
2025-05-19 10:38:00-04:00,519.38,519.72,519.35,519.61,55064.0,519.58,356
2025-05-19 10:39:00-04:00,519.62,519.67,519.24,519.34,50458.0,519.458,307
2025-05-19 10:40:00-04:00,519.33,519.73,519.25,519.7,58248.0,519.552,453
2025-05-19 10:41:00-04:00,519.69,519.77,519.56,519.67,39443.0,519.685,298
2025-05-19 10:42:00-04:00,519.7,519.88,519.65,519.68,46271.0,519.781,314
2025-05-19 10:43:00-04:00,519.67,519.75,519.3,519.31,102512.0,519.469,482
2025-05-19 10:44:00-04:00,519.31,519.61,519.31,519.6,42790.0,519.465,212
2025-05-19 10:45:00-04:00,519.6,519.87,519.49,519.57,65128.0,519.722,475
2025-05-19 10:46:00-04:00,519.6,519.6,519.27,519.41,46318.0,519.4,329
2025-05-19 10:47:00-04:00,519.42,519.59,519.37,519.43,30928.0,519.483,210
2025-05-19 10:48:00-04:00,519.39,519.39,518.87,518.94,78645.0,519.093,463
2025-05-19 10:49:00-04:00,518.94,518.98,518.62,518.81,70696.0,518.79,410
2025-05-19 10:50:00-04:00,518.82,519.13,518.52,519.11,87815.0,518.81,547
2025-05-19 10:51:00-04:00,519.13,519.45,518.86,519.1,96649.0,519.182,664
2025-05-19 10:52:00-04:00,519.1,519.47,518.99,519.4,60809.0,519.293,368
2025-05-19 10:53:00-04:00,519.42,519.48,519.06,519.07,51652.0,519.286,262
2025-05-19 10:54:00-04:00,519.1,519.23,519.0,519.11,36231.0,519.126,209
2025-05-19 10:55:00-04:00,519.1,519.17,518.91,519.12,40970.0,519.028,253
2025-05-19 10:56:00-04:00,519.13,519.2,518.9,519.05,24058.0,519.051,145
2025-05-19 10:57:00-04:00,519.06,519.12,518.87,518.9,37683.0,518.983,212
2025-05-19 10:58:00-04:00,518.89,519.05,518.74,518.79,43301.0,518.89,255
2025-05-19 10:59:00-04:00,518.8,518.9,518.7,518.9,39191.0,518.801,231
2025-05-19 11:00:00-04:00,518.91,519.07,518.8,518.85,115544.0,518.961,524
2025-05-19 11:01:00-04:00,518.88,519.23,518.81,519.12,61159.0,519.06,418
2025-05-19 11:02:00-04:00,519.14,519.33,519.12,519.3,72470.0,519.24,414
2025-05-19 11:03:00-04:00,519.28,519.29,519.04,519.15,72557.0,519.2,445
2025-05-19 11:04:00-04:00,519.14,519.31,519.13,519.29,73905.0,519.204,443
2025-05-19 11:05:00-04:00,519.29,519.37,519.06,519.07,90138.0,519.241,418
2025-05-19 11:06:00-04:00,519.08,519.28,518.91,519.23,73733.0,519.05,436
